,objectid,cod_topo,fraccao,telefone,url,name,descricao,cod_gis,cod_freg,cod_sgr,n_ordem,data_reg,user_reg,n_policia,horarios,x,y
79,80,BCARR1,,226151609, ,Restaurante Chocolatti, ,01080100002,01,0801,00002,1245628800000,rafaeldias, , ,-8.671794899106672,41.170460027764534
80,81,RPIED0,,226068136, ,Restaurante Francesinhas & Cª., ,07080100004,07,0801,00004,1245628800000,rafaeldias,33, ,-8.62868606303445,41.151659602069124
81,82,RCALE0,,226078380, ,Restaurante Capa Negra, ,07080100005,07,0801,00005,1245628800000,rafaeldias,191, ,-8.630417736572374,41.15247022698057
82,83,RAMSI0,,226095261, ,Restaurante Convívio, ,07080100006,07,0801,00006,1245628800000,rafaeldias,303, ,-8.630902407590051,41.15440346786242
83,84,TCONG0,,222002822, ,Restaurante Flor dos Congregados, ,12080100005,12,0801,00005,1245628800000,rafaeldias,11, ,-8.610268154049178,41.14694275627461
84,85,ABRAS0,,226176092, ,Restaurante A Máscara,Especialidades da Casa: Fondues,05080100004,05,0801,00004,1245628800000,rafaeldias,308, ,-8.680032693011151,41.15507864069027
85,86,RMADE0,,222054847, ,Restaurante O Rápido, ,12080100021,12,0801,00021,1245628800000,rafaeldias,194, ,-8.609770733129933,41.146006692776616
86,87,AVGAM0,,226174575, ,Restaurante Sultão, ,11080100007,11,0801,00007,1245628800000,rafaeldias,39, ,-8.656292264510704,41.17080478660956
87,88,RSPIN0,,228320101, ,Restaurante Pizzeria Bella Napoli, ,04080100008,04,0801,00008,1245628800000,rafaeldias,408, ,-8.620598670071187,41.16412161207704
88,89,RNSFA0,,226099648, ,Restaurante Romaria, ,04080100011,04,0801,00011,1245628800000,rafaeldias,495, ,-8.627669869006109,41.158481303427145
89,90,PCALB0,,222005748, ,Restaurante Bolsa, ,15080100001,15,0801,00001,1245628800000,rafaeldias,123, ,-8.615956778934173,41.14760202160306
90,91,RNATA0,,228318996, ,Restaurante Natário, ,10080100004,10,0801,00004,1245628800000,rafaeldias,99, ,-8.624017837134025,41.167435493256065
91,92,RMIRA1,,225368787, ,Restaurante Casa de Pasto, ,03080100003,03,0801,00003,1245628800000,rafaeldias,20, ,-8.587958192455837,41.147505898430325
92,93,RSCAT0,,225094713, ,Restaurante Pax,Capacidade para 100 pessoas; Especialidades da Casa: Bacalhau; Cozido à portuguesa; Vitela à mirandesa,12080100020,12,0801,00020,1245628800000,rafaeldias,1577,Aberto  das 9:00 ás 24:00 encerra ao Sábado,-8.604655879447606,41.16016996388468
